"","x"
"1","https://twitter.com/TonyAbbottMHR"
"2","https://twitter.com/AlboMP"
"3","https://twitter.com/JohnAlexanderMP"
"4","https://twitter.com/karenandrewsmp"
"5","https://twitter.com/kevinandrewsmp"
"6","https://twitter.com/adambandt"
"7","https://twitter.com/SharonBirdMP"
"8","https://twitter.com/JulieBishopMP"
"9","https://twitter.com/Bowenchris"
"10","https://twitter.com/broad4mallee"
"11","https://twitter.com/ScottBuchholzMP"
"12","https://twitter.com/tony_burke"
"13","https://twitter.com/lindaburneymp"
"14","https://twitter.com/Mark_Butler_MP"
"15","https://twitter.com/terrimbutler"
"16","https://twitter.com/AnthonyByrne_MP"
"17","https://twitter.com/JEChalmers"
"18","https://twitter.com/NickChampionMP"
"19","https://twitter.com/DarrenChesterMP"
"20","https://twitter.com/LMChesters"
"21","https://twitter.com/GChristensenMP"
"22","https://twitter.com/stevenciobo"
"23","https://twitter.com/JasonClareMP"
"24","https://twitter.com/SharonClaydon"
"25","https://twitter.com/JulieCollinsMP"
"26","https://twitter.com/MarkCoultonMP"
"27","https://twitter.com/PeterDutton_MP"
"28","https://twitter.com/KateEllisMP"
"29","https://twitter.com/jasonfalinskiMP"
"30","https://twitter.com/fitzhunter"
"31","https://twitter.com/PaulFletcherMP"
"32","https://twitter.com/nicolleflint"
"33","https://twitter.com/JoshFrydenberg"
"34","https://twitter.com/stevegeorganas"
"35","https://twitter.com/andrewjgiles"
"36","https://twitter.com/DaveGillespieMP"
"37","https://twitter.com/lukejgosling"
"38","https://twitter.com/RossHartMP"
"39","https://twitter.com/alexhawkemp"
"40","https://twitter.com/SHendersonMP"
"41","https://twitter.com/JulianHillMP"
"42","https://twitter.com/KevinHoganMP"
"43","https://twitter.com/greghuntmp"
"44","https://twitter.com/SteveIronsMP"
"45","https://twitter.com/stephenjonesalp"
"46","https://twitter.com/Barnaby_Joyce"
"47","https://twitter.com/RealBobKatter"
"48","https://twitter.com/gedkearney"
"49","https://twitter.com/CraigKellyMP"
"50","https://twitter.com/MikeKellyofEM"
"51","https://twitter.com/mattkeogh"
"52","https://twitter.com/PeterKhalilMP"
"53","https://twitter.com/CatherineKingMP"
"54","https://twitter.com/MadeleineMHKing"
"55","https://twitter.com/AndrewLamingMP"
"56","https://twitter.com/ALEIGHMP"
"57","https://twitter.com/sussanley"
"58","https://twitter.com/D_LittleproudMP"
"59","https://twitter.com/NolaMarinoMP"
"60","https://twitter.com/RichardMarlesMP"
"61","https://twitter.com/M_McCormackMP"
"62","https://twitter.com/Indigocathy"
"63","https://twitter.com/johnjmcveigh"
"64","https://twitter.com/brianmitchellmp"
"65","https://twitter.com/RobMitchellMP"
"66","https://twitter.com/ScottMorrisonMP"
"67","https://twitter.com/ShayneNeumannMP"
"68","https://twitter.com/kellyodwyer"
"69","https://twitter.com/ClareONeilMP"
"70","https://twitter.com/JulieOwensMP"
"71","https://twitter.com/GrahamPerrettMP"
"72","https://twitter.com/tanya_plibersek"
"73","https://twitter.com/cporterwa"
"74","https://twitter.com/JanePrentice_MP"
"75","https://twitter.com/Melissa4Durack"
"76","https://twitter.com/CPyne"
"77","https://twitter.com/AmandaRishworth"
"78","https://twitter.com/stuartrobertmp"
"79","https://twitter.com/MRowlandMP"
"80","https://twitter.com/JoanneRyanLalor"
"81","https://twitter.com/makemayomatter"
"82","https://twitter.com/billshortenmp"
"83","https://twitter.com/TonySmithMP"
"84","https://twitter.com/annewerriwa"
"85","https://twitter.com/SwannyQLD"
"86","https://twitter.com/angustaylormp"
"87","https://twitter.com/DanTehanWannon"
"88","https://twitter.com/stemplemanmp"
"89","https://twitter.com/MThistlethwaite"
"90","https://twitter.com/AlanTudgeMP"
"91","https://twitter.com/MariaVamvakinou"
"92","https://twitter.com/bertvanmanen/"
"93","https://twitter.com/TimWattsMP"
"94","https://twitter.com/LucyWicksMP"
"95","https://twitter.com/joshwilsonmp"
"96","https://twitter.com/timwilsonmp"
"97","https://twitter.com/JasonWood_MP"
"98","https://twitter.com/KenWyattMP"
