"","X","name","electorate","party","twitter"
"1",1,"Hon Anthony Albanese MP","Grayndler, New South Wales","Australian Labor Party","albomp"
"2",3,"Hon Sharon Bird MP","Cunningham, New South Wales","Australian Labor Party","sharonbirdmp"
"3",4,"Hon Chris Bowen MP","McMahon, New South Wales","Australian Labor Party","bowenchris"
"4",6,"Hon Tony Burke MP","Watson, New South Wales","Australian Labor Party","tony_burke"
"5",7,"Hon Linda Burney MP","Barton, New South Wales","Australian Labor Party","lindaburneymp"
"6",8,"Hon Mark Butler MP","Port Adelaide, South Australia","Australian Labor Party","mark_butler_mp"
"7",9,"Ms Terri Butler MP","Griffith, Queensland","Australian Labor Party","terrimbutler"
"8",10,"Hon Anthony Byrne MP","Holt, Victoria","Australian Labor Party","anthonybyrne_mp"
"9",11,"Dr Jim Chalmers MP","Rankin, Queensland","Australian Labor Party","jechalmers"
"10",12,"Mr Nick Champion MP","Wakefield, South Australia","Australian Labor Party","nickchampionmp"
"11",13,"Ms Lisa Chesters MP","Bendigo, Victoria","Australian Labor Party","lmchesters"
"12",14,"Hon Jason Clare MP","Blaxland, New South Wales","Australian Labor Party","jasonclaremp"
"13",15,"Ms Sharon Claydon MP","Newcastle, New South Wales","Australian Labor Party","sharonclaydon"
"14",16,"Hon Julie Collins MP","Franklin, Tasmania","Australian Labor Party","juliecollinsmp"
"15",22,"Hon Kate Ellis MP","Adelaide, South Australia","Australian Labor Party","kateellismp"
"16",23,"Hon Joel Fitzgibbon MP","Hunter, New South Wales","Australian Labor Party","fitzhunter"
"17",25,"Mr Steve Georganas MP","Hindmarsh, South Australia","Australian Labor Party","stevegeorganas"
"18",26,"Mr Andrew Giles MP","Scullin, Victoria","Australian Labor Party","andrewjgiles"
"19",28,"Mr Luke Gosling OAM, MP","Solomon, Northern Territory","Australian Labor Party","lukejgosling"
"20",29,"Mr Ross Hart MP","Bass, Tasmania","Australian Labor Party","rosshartmp"
"21",31,"Mr Julian Hill MP","Bruce, Victoria","Australian Labor Party","julianhillmp"
"22",34,"Mr Stephen Jones MP","Whitlam, New South Wales","Australian Labor Party","stephenjonesalp"
"23",35,"Ms Ged Kearney MP","Batman, Victoria","Australian Labor Party","gedkearney"
"24",37,"Hon Dr Mike Kelly AM, MP","Eden-Monaro, New South Wales","Australian Labor Party","mikekellyofem"
"25",38,"Mr Matt Keogh MP","Burt, Western Australia","Australian Labor Party","mattkeogh"
"26",39,"Mr Peter Khalil MP","Wills, Victoria","Australian Labor Party","peterkhalilmp"
"27",40,"Hon Catherine King MP","Ballarat, Victoria","Australian Labor Party","catherinekingmp"
"28",41,"Ms Madeleine King MP","Brand, Western Australia","Australian Labor Party","madeleinemhking"
"29",43,"Hon Dr Andrew Leigh MP","Fenner, Australian Capital Territory","Australian Labor Party","aleighmp"
"30",45,"Hon Richard Marles MP","Corio, Victoria","Australian Labor Party","richardmarlesmp"
"31",47,"Mr Brian Mitchell MP","Lyons, Tasmania","Australian Labor Party","brianmitchellmp"
"32",48,"Mr Rob Mitchell MP","McEwen, Victoria","Australian Labor Party","robmitchellmp"
"33",49,"Hon Shayne Neumann MP","Blair, Queensland","Australian Labor Party","shayneneumannmp"
"34",51,"Ms Clare O'Neil MP","Hotham, Victoria","Australian Labor Party","clareoneilmp"
"35",53,"Ms Julie Owens MP","Parramatta, New South Wales","Australian Labor Party","julieowensmp"
"36",54,"Mr Graham Perrett MP","Moreton, Queensland","Australian Labor Party","grahamperrettmp"
