"","Nationals","Liberals","Labor"
"abc",2,1,18
"abcmelbourn",2,0,1
"abseil",1,0,0
"academi",1,0,0
"access",1,12,6
"accus",1,0,1
"achi",1,0,0
"acro",1,0,0
"across",1,4,12
"act",5,2,12
"action",1,4,7
"adani",1,0,0
"adaniaustralia",1,0,0
"add",1,1,1
"addit",3,3,1
"advers",1,0,0
"advis",1,0,1
"afraid",1,0,2
"aft",1,0,1
"afternoon",1,3,10
"age",4,9,4
"agre",1,2,5
"agri",1,0,0
"agric",1,0,0
"agricultur",3,0,2
"agricultureday",2,0,0
"agtech",1,0,0
"air",1,5,1
"airport",2,0,2
"ajhegarti",1,0,0
"allison",1,0,0
"along",1,3,2
"alreadi",1,1,5
"also",1,2,16
"alway",2,7,11
"ambassador",1,1,2
"amongst",1,0,1
"amount",1,2,12
"amp",18,94,97
"andrew",3,3,1
"angel",1,0,0
"angustaylormp",1,3,0
"annabell",1,0,0
"annavidot",4,0,0
"anniversari",1,4,4
"announ",1,0,0
"announc",12,34,38
"anoth",3,15,14
"answer",2,0,4
"anyon",2,4,9
"anzac",2,1,1
"apec",1,4,0
"appal",1,0,2
"appar",1,0,2
"appli",2,2,1
"appoint",1,0,1
"arent",2,2,4
"arou",1,0,0
"arrest",1,1,1
"art",2,2,2
"asia",1,1,5
"asinodino",2,0,0
"ask",3,2,10
"associ",1,0,2
"assur",1,0,1
"atnmag",1,0,0
"att",1,0,0
"attack",2,13,11
"attend",1,10,5
"aus",1,1,3
"ausairport",1,0,0
"auseufta",1,0,0
"aussi",3,11,7
"austrad",2,0,0
"austral",1,1,7
"australia",9,39,88
"australiabrazilbusinesscouncil",1,0,0
"australian",6,48,75
"aviat",2,1,1
"award",5,7,13
"back",4,17,19
"backyard",1,0,0
"bank",2,1,21
"barrier",1,0,0
"base",1,3,11
"bastard",1,0,1
"battista",1,0,0
"battl",3,1,1
"bay",3,2,2
"bbq",2,1,3
"beach",2,3,1
"beauti",1,3,3
"bed",2,1,1
"behind",1,0,5
"believ",2,1,6
"benefit",1,3,6
"best",4,3,11
"betw",1,0,0
"beyond",1,0,1
"big",5,12,19
"biggest",1,0,3
"bill",1,6,23
"birthday",2,3,3
"bit",1,3,4
"bizarr",1,1,0
"blackstumpway",1,0,0
"bland",1,0,0
"blandflavourfestiv",1,0,0
"blandshir",1,0,0
"bloke",2,0,1
"bomb",2,3,0
"book",4,0,2
"bootcamp",1,0,0
"booth",1,0,0
"bought",1,1,0
"bourk",2,4,3
"bowen",3,0,0
"bowencollinsvill",1,0,0
"bowl",1,0,5
"box",1,1,2
"boy",1,0,2
"boycott",1,1,0
"brad",1,0,0
"braidwood",1,0,0
"brain",1,0,0
"branch",1,0,3
"brand",1,0,1
"brave",1,0,0
"bread",1,0,3
"break",3,2,16
"bridg",3,1,0
"brilliant",2,3,1
"bring",1,7,6
"brokenhil",1,0,0
"brokenhillc",1,0,0
"bruc",1,0,0
"bryce",1,0,0
"bubbl",1,0,1
"bubbler",1,0,0
"build",9,5,12
"bul",1,0,0
"bulli",1,0,1
"bump",1,1,1
"bunch",3,0,0
"bundaberg",1,0,0
"bundaberghervey",1,0,0
"burk",1,1,0
"burraganbess",1,0,0
"bush",1,0,1
"busi",4,34,16
"cairn",2,1,3
"cal",1,1,0
"calc",1,0,0
"calleen",1,0,0
"came",3,2,1
"campaign",2,3,44
"can",5,11,37
"canberra",1,0,4
"canberradeclara",1,0,0
"cancer",1,3,0
"candid",2,4,12
"capsicum",1,0,0
"captain",1,0,0
"captaindosm",1,0,0
"caption",1,0,0
"carbon",2,0,4
"care",5,9,6
"carl",1,0,0
"carolin",1,0,0
"casgarvey",1,0,0
"catc",1,0,0
"catch",4,4,7
"cathol",1,0,0
"caught",1,0,3
"celebr",3,11,5
"centr",1,6,10
"central",5,0,0
"centralwest",1,0,0
"certain",1,1,1
"cfa",2,1,0
"cfmmeu",1,0,0
"challeng",1,3,3
"chanc",1,2,5
"chang",1,13,27
"chapman",1,0,0
"charleyong",1,0,0
"chat",1,5,8
"check",2,3,10
"chef",1,0,0
"children",1,4,7
"choic",1,4,10
"chrcouncil",1,0,0
"christensen",1,0,0
"christma",3,4,12
"citi",2,8,1
"civil",1,0,0
"clarenc",1,0,1
"class",1,3,6
"clear",1,1,9
"cloncurri",1,1,0
"close",1,1,7
"club",1,4,14
"coal",1,0,2
"coalit",1,16,8
"coast",2,7,3
"colleg",2,4,4
"collinsvill",1,0,0
"come",4,11,20
"comm",1,2,1
"commentari",1,0,1
"commi",1,0,1
"commission",1,2,2
"commit",6,8,22
"committe",1,12,5
"common",3,0,9
"commonroadscommonsens",1,0,0
"commonwealth",1,2,1
"communiti",9,19,32
"complet",1,2,1
"conaghan",1,0,0
"concern",1,4,8
"conduct",1,0,0
"congrat",1,2,6
"congratul",5,17,10
"conkey",1,0,0
